,Speeds,Predicted RIR,Predicted Percentages,Predicted Weights
Set 1,"[0.4966484433962264, 0.5427613933236575, 0.5052416935112747, 0.4754241509433962, 0.4425972452830189]","[13.078201025732655, 15.650679666809017, 13.557588104919246, 11.894172697621189, 10.06287555014213]","[69.39951705606146, 63.848695245480116, 68.36510914597423, 71.95437996651785, 75.90590126802374]","[144.09322174276696, 156.62027174639726, 146.27344452340222, 138.9769462908755, 131.7420626453008]"
Set 2,"[0.37860842126623373, 0.5486811534749035, 0.5008344196428571, 0.49123188153310104, 0.44518615079365087]","[6.493165017421406, 15.980922181619734, 13.31172185889247, 12.776030166507924, 10.207301446562687]","[83.60852191026832, 63.136107267208104, 68.89563239275235, 70.05153280815529, 75.5942631447511]","[119.6050327349688, 158.38797215795154, 145.1470819368221, 142.75205122757595, 132.2851706465023]"
Set 3,"[0.4920142857142858, 0.5118535714285714, 0.46965, 0.4721749999999999, 0.39429607843137243]","[12.819677732928076, 13.926441425871763, 11.572053206336994, 11.712914039984367, 7.368324013958327]","[69.95735132116639, 67.56920785989323, 72.64944031387432, 72.34549478243957, 81.72012852649624]","[142.94423403898065, 147.9964071909101, 137.6473095566331, 138.22560796732986, 122.36887264265235]"
Set 4,"[0.47008391980360065, 0.5086903846153846, 0.5032229950900163, 0.4578101882160393, 0.4097733421750664]","[11.596260059909783, 13.749978403500327, 13.444972048483168, 10.911551915993718, 8.231745904460146]","[72.59720744840682, 67.94997478938292, 68.6081088942736, 74.07465135734505, 79.85706113887916]","[137.74634523107204, 147.1670891857709, 145.7553656727398, 134.99894790943793, 125.22374173786626]"
Set 5,"[0.5142342857142858, 0.5162945192307692, 0.491006350626118, 0.44482730769230777, 0.49689086538461535, 0.4290436298076923, 0.3877817307692307, 0.339809765625, 0.31473096719457017, 0.2470341176470588]","[14.059253069025013, 14.174186221753777, 12.763448593608567, 10.187282857095836, 13.091724892417377, 9.306767203690432, 7.004911561539261, 4.328725026125648, 2.9296674206662647, -0.8469007625272731]","[67.28263064454043, 67.03463113125437, 70.07868097107723, 75.63745869213304, 69.3703356382031, 77.53741051891905, 82.5042896600093, 88.27888943812152, 91.29773645462942, 99.44670869707609]","[148.62676896256937, 149.17662454828633, 142.69674973088013, 132.20962434371276, 144.15383618949764, 128.97000213284156, 121.20581900903396, 113.27736521888883, 109.53174074550599, 100.55636964779728]"
