,Speeds,Predicted RIR,Predicted Percentages,Predicted Weights
Set 1,"[0.4741664150943396, 0.4114247460087082, 0.42074823780704884, 0.42448584905660386, 0.39817269116186693]","[11.824008055955327, 8.323871892854312, 8.843996576901349, 9.052504710153682, 7.5845865489862465]","[72.10577925010045, 79.65827428112483, 78.53596391697658, 78.08605095161319, 81.25348333182814]","[138.68513875031826, 125.53623701046605, 127.33020009242375, 128.06384595113667, 123.07164677680788]"
Set 2,"[0.441875, 0.46556190476190473, 0.46613695652173914, 0.365348076923077, 0.36801875000000006]","[10.02258403621582, 11.343992809003142, 11.376072916044988, 5.7534172318260115, 5.90240465202997]","[75.99284115965678, 73.14154260286395, 73.07232105326183, 85.20472880467972, 84.88324795412373]","[131.59134265016556, 136.7212071844987, 136.8507234457638, 117.36437801384996, 117.80887561471059]"
Set 3,"[0.44692499999999996, 0.4330632653061224, 0.38370648148148145, 0.36107500000000003, 0.28806642857142856]","[10.304305703510577, 9.531008473895367, 6.777567794413221, 5.515037359499674, 1.442146969466867]","[75.38495009678724, 77.05354903466383, 82.99484562456144, 85.71909816556933, 94.50746610305463]","[132.6524722396305, 129.77987549283853, 120.4894102127302, 116.66011675349945, 105.8117460169296]"
Set 4,"[0.41903323268921094, 0.457017382154882, 0.35589067796610163, 0.32267476851851856, 0.29626172839506176]","[8.748322497452568, 10.86732406542132, 5.225822340255553, 3.3728240451496436, 1.8993338071489259]","[78.74240674547345, 74.17008496510076, 86.34315817179596, 90.34150559719586, 93.52096124754513]","[126.99637226385458, 134.82524665713004, 115.81693572179881, 110.69109302413919, 106.92790008360285]"
Set 5,"[0.39866142857142856, 0.4031217391304347, 0.3839616, 0.305248064516129, 0.310252131147541, 0.22801662650602408]","[7.611851483222095, 7.8606764589321205, 6.7917999556795206, 2.4006497665347037, 2.6798089733971704, -1.907819438173929]","[81.19465182621181, 80.65774431602517, 82.9641358686446, 92.43923581864644, 91.8368739605793, 101.73592907387521]","[123.16082124970369, 123.98065535801489, 120.5340102117473, 108.17917209547987, 108.88872376353392, 98.2936912360483]"
