,Speeds,Predicted RIR,Predicted Percentages,Predicted Weights
Set 1,"[0.37740684485006526, 0.4236864406779661, 0.37868801870251306, 0.2786426150121065, 0.2705316384180791]","[6.4261333122045645, 9.00790853960334, 6.497605477314673, 0.9164256886337654, 0.4639429461668012]","[83.75316103199972, 78.18227930982248, 83.59894041123039, 95.6418526457993, 96.6182071374138]","[119.3984785383716, 127.90622233424249, 119.61874098893045, 104.55673665203943, 103.50016105947452]"
Set 2,"[0.39752616632860044, 0.3926810344827586, 0.3991142810670136, 0.352550948275862, 0.3416843131712832]","[7.548519211565397, 7.278226415154803, 7.637114524825025, 5.039510614186616, 4.433299414276581]","[81.33130841461347, 81.9145385824376, 81.14013994802085, 86.74517635617156, 88.05324177469389]","[122.95388079854395, 122.07845118893206, 123.24356362222318, 115.28018525134442, 113.5676529160333]"
Set 3,"[0.4560947368421052, 0.4808131578947368, 0.44100852631578946, 0.36376786703601105, 0.30091457489878537]","[10.815852941493164, 12.194806365620144, 9.974246529090506, 5.665262902309204, 2.1588996833262737]","[74.28114790368204, 71.305681122268, 76.0971424683386, 85.39494572899764, 92.96087732546249]","[134.62366000275975, 140.24128011417463, 131.4109791200196, 117.10294929790312, 107.57213451191198]"
Set 4,"[0.3275367503259452, 0.45108332131265777, 0.3217315280720339, 0.33838785773826063, 0.31299314088983055]","[3.644056841415983, 10.536283765559942, 3.320203991438058, 4.249401806206484, 2.8327202277870693]","[89.75624712421191, 74.8843943814398, 90.45504766403846, 88.45005084338342, 91.50692637135631]","[111.4128578277253, 133.53917171397347, 110.55215002640064, 113.05815999706752, 109.2813451018744]"
Set 5,"[0.428021836815136, 0.44676382978723406, 0.41690745762711856, 0.3794347457627119, 0.311510411622276, 0.2466542143838754, 0.15791949152542373]","[9.24976498082052, 10.295314586469258, 8.629733013336471, 6.539262743139096, 2.750003997806436, -0.8680942240549463, -5.818291069722546]","[77.6604083066968, 75.40435087538947, 78.99829578743719, 83.5090535386962, 91.68540911797047, 99.49243935023335, 110.17383439812599]","[128.76574071704542, 132.61834209707132, 126.5850092121894, 119.7474953463127, 109.06860858452544, 100.51014997027055, 90.76565279432714]"
