,Speeds,Predicted RIR,Predicted Percentages,Predicted Weights
Set 1,"[0.5253485294117647, 0.568570588235294, 0.4930670838548185, 0.395497971602434, 0.3803541176470588]","[14.679277477970368, 17.090483512757864, 12.878409623517323, 7.435373389812119, 6.59055125405437]","[65.94475947340152, 60.74192714119462, 69.83062130519895, 81.57545127556313, 83.39838463732036]","[151.64207254457344, 164.63093073677095, 143.20365210978713, 122.58589862065054, 119.90639918851677]"
Set 2,"[0.3803400586701435, 0.5076415384615385, 0.474712139423077, 0.45923009049773766, 0.3576565384615385]","[6.589766953377728, 13.691466980292953, 11.85445208917814, 10.990763250289897, 5.3243334616386075]","[83.40007697918568, 68.07622908705582, 72.04008797441135, 73.90373137572277, 86.13059365428103]","[119.90396606583131, 146.894152835816, 138.8116017230851, 135.3111651313046, 116.10276413673553]"
Set 3,"[0.4896885561936013, 0.48396355410088565, 0.4422964011180992, 0.3395830188679245, 0.30469435254587757]","[12.689933495652062, 12.370555845191499, 10.046092516530825, 4.316075625243078, 2.369760130998012]","[70.23730977468637, 70.92645385529454, 75.94211522429524, 88.3061839583514, 92.50588860243252]","[142.37447351100022, 140.99111764987128, 131.6792397797319, 113.24235236703679, 108.1012263227645]"
Set 4,"[0.4219365839243499, 0.4432353202160494, 0.4063311899862826, 0.31072763310185186, 0.30804486531986536]","[8.910290210463588, 10.098471497467346, 8.039720388874704, 2.706335548321997, 2.5566734072317185]","[78.39291738543142, 75.82909333748307, 80.27140837701748, 91.77963566584611, 92.10257241008848]","[127.56254434100708, 131.87550529576095, 124.57735826724452, 108.95663212706881, 108.5746004517095]"
Set 5,"[0.4983094749794914, 0.45504883018867925, 0.4137517241379311, 0.4445524528301887, 0.3875531819635433, 0.36832310595065315, 0.2801955974842767]","[13.17086411228051, 10.757505502634187, 8.453685785591562, 10.171949674913607, 6.992161630728079, 5.919383595766417, 1.0030610968197688]","[69.1995712630692, 74.40704836055599, 79.37816552701642, 75.67054419990896, 82.53180110088195, 84.84661126851319, 95.45491320706162]","[144.5095658466435, 134.39587001950088, 125.97922783434056, 132.151818197338, 121.16541583500155, 117.85974537454543, 104.76150115298846]"
